call_id,reason
,missing_field
CALL_4,missing_field
CALL_9,missing_field
CALL_12,missing_field
CALL_20,missing_field
CALL_28,missing_field
CALL_40,missing_field
,missing_field
CALL_48,missing_field
CALL_50,missing_field
CALL_70,missing_field
CALL_71,missing_field
CALL_74,bad_timestamp
CALL_80,missing_field
CALL_86,missing_field
CALL_88,bad_timestamp
CALL_89,missing_field
CALL_98,missing_field
CALL_110,missing_field
CALL_114,missing_field
CALL_128,missing_field
CALL_132,missing_field
CALL_134,bad_timestamp
CALL_139,bad_timestamp
CALL_146,missing_field
CALL_164,missing_field
CALL_168,missing_field
CALL_179,missing_field
CALL_183,missing_field
CALL_184,missing_field
CALL_185,missing_field
CALL_188,missing_field
CALL_201,bad_timestamp
CALL_203,bad_timestamp
CALL_205,missing_field
CALL_212,missing_field
CALL_213,missing_field
CALL_214,missing_field
CALL_227,missing_field
CALL_228,bad_timestamp
CALL_230,missing_field
CALL_249,bad_timestamp
CALL_253,bad_timestamp
CALL_259,missing_field
CALL_262,missing_field
,missing_field
CALL_270,missing_field
CALL_273,missing_field
CALL_274,missing_field
CALL_282,missing_field
CALL_286,missing_field
CALL_289,missing_field
CALL_290,missing_field
CALL_292,missing_field
CALL_293,missing_field
CALL_305,missing_field
CALL_312,missing_field
CALL_325,missing_field
CALL_337,missing_field
CALL_360,missing_field
CALL_371,missing_field
CALL_372,missing_field
CALL_376,missing_field
CALL_383,missing_field
CALL_393,missing_field
CALL_405,bad_timestamp
CALL_406,missing_field
CALL_409,bad_timestamp
CALL_423,missing_field
CALL_428,missing_field
CALL_433,missing_field
CALL_439,missing_field
CALL_445,bad_timestamp
CALL_446,missing_field
CALL_453,missing_field
CALL_463,missing_field
CALL_470,missing_field
CALL_471,missing_field
CALL_472,missing_field
CALL_475,missing_field
,missing_field
CALL_492,missing_field
CALL_493,bad_timestamp
CALL_500,bad_timestamp
CALL_358,duplicate
CALL_114,missing_field
CALL_79,duplicate
CALL_26,duplicate
CALL_345,duplicate
CALL_375,duplicate
CALL_202,duplicate
CALL_498,duplicate
CALL_229,duplicate
CALL_386,duplicate
CALL_305,missing_field
CALL_295,duplicate
CALL_93,duplicate
CALL_228,duplicate
CALL_443,duplicate
CALL_297,duplicate
CALL_404,duplicate
CALL_152,duplicate
CALL_136,duplicate
CALL_345,duplicate
CALL_85,duplicate
CALL_488,duplicate
CALL_51,duplicate
CALL_409,duplicate
,missing_field
